Id,SalePrice
1461,110540.02407467247
1462,157259.19130643198
1463,173870.19265379402
1464,187904.04276177613
1465,207977.6409299137
1466,175535.86847773028
1467,181525.29466461865
1468,164070.8094993183
1469,191579.60574029005
1470,113302.26767132594
1471,223250.94146159498
1472,108099.44927807385
1473,98530.20736291398
1474,157814.91425626827
1475,105043.19223762913
1476,319345.6378475408
1477,237762.34416345146
1478,282703.78294449806
1479,273663.2998593932
1480,409952.5797303837
1481,286385.50908548606
1482,222865.6398173259
1483,183897.10999884305
1484,188780.2611866027
1485,203846.1784854454
1486,213511.11741950116
1487,298114.2263920558
1488,244782.28080362806
1489,196362.24607079613
1490,239030.84710686037
1491,220252.9668630139
1492,106186.78755445538
1493,216318.97841216373
1494,281893.54605993576
1495,271227.59528676263
1496,261918.71067828455
1497,191120.06244715943
1498,201071.45328639864
1499,187996.20843790425
1500,183596.0785034742
1501,217312.00377889897
1502,175853.27459692548
1503,267503.63360969495
1504,245598.5950976794
1505,225371.6935099748
1506,198427.43373767048
1507,246501.96032873204
1508,218227.2917367875
1509,143607.55443857022
1510,141397.809310477
1511,157614.7161918958
1512,179267.97665134925
1513,146116.52618890794
1514,161352.23151727297
1515,210368.96162661543
1516,161300.33055131978
1517,161269.95316194312
1518,120738.40929592594
1519,229292.29411698272
1520,135571.07334810513
1521,129717.18283110173
1522,183718.76303540514
1523,101844.20087852982
1524,87026.25903980732
1525,94070.22979287962
1526,110757.02629002523
1527,92565.68908681696
1528,138152.6517977831
1529,135326.336969695
1530,199000.42206727923
1531,161674.68358476792
1532,103242.15335683881
1533,157495.80803416262
1534,134601.6953774824
1535,152742.15037439627
1536,106248.2910494721
1537,80702.5527135066
1538,161326.12303907843
1539,229325.48931617566
1540,113992.0592246181
1541,133478.76518396757
1542,143793.10683086797
1543,192598.95890622085
1544,88308.02602764874
1545,97709.35279468562
1546,147211.93259543373
1547,145308.88760843256
1548,122074.8806041678
1549,121285.26968153988
1550,146665.37540709245
1551,122670.51798675902
1552,168899.508626724
1553,169531.9870978006
1554,112007.01770235825
1555,164586.36357338107
1556,95576.22124261543
1557,107449.74270243877
1558,101421.57879687719
